Bairro,unidades,medicos totais,população,Médico por U.S.,Proporção médico população,Indice OCDE,Médicos por Unidade de Saúde,Proporção Médico por População,Índice OCDE
SANTO AMARO,10,47,27103,4.7,0.001734125374,0.4954643924,4.7,0.001734,0.4955
SANTO ANTONIO,9,44,447,4.888888889,0.09843400447,28.12400128,4.89,0.098434,28.124
SAO JOSE,10,66,8876,6.6,0.007435781884,2.12450911,6.6,0.007436,2.1245
SITIO DOS PINTOS,1,4,7996,4.0,0.0005002501251,0.1429286072,4.0,0.0005,0.1429
SOLEDADE,3,22,2081,7.333333333,0.01057184046,3.020525846,7.33,0.010572,3.0205
TAMARINEIRA,5,32,13236,6.4,0.002417648837,0.6907568104,6.4,0.002418,0.6908
TEJIPIO,4,28,9835,7.0,0.002846975089,0.813421454,7.0,0.002847,0.8134
TORRE,5,32,20872,6.4,0.001533154465,0.4380441329,6.4,0.001533,0.438
TORREAO,1,7,1566,7.0,0.004469987229,1.277139208,7.0,0.00447,1.2771
TORROES,3,16,31130,5.333333333,0.0005139736588,0.1468496168,5.33,0.000514,0.1468
TOTO,6,25,2074,4.166666667,0.01205400193,3.444000551,4.17,0.012054,3.444
VARZEA,6,33,70946,5.5,0.0004651425027,0.1328978579,5.5,0.000465,0.1329
VASCO DA GAMA,4,29,26631,7.25,0.001088956479,0.3111304227,7.25,0.001089,0.3111
ZUMBI,4,28,4763,7.0,0.005878647911,1.679613689,7.0,0.005879,1.6796
