X,Y,bairro_X,bairro_Y,custo,caminho,caminho_detalhado
Nova Descoberta,Boa Viagem (Setúbal),Nova Descoberta,Boa Viagem,2682.05,Nova Descoberta -> Brejo de Beberibe -> Alto José Bonifácio -> Alto Santa Teresinha -> Bomba do Hemetério -> Arruda -> Campo Grande -> Santo Amaro -> Santo Antônio -> São José -> Pina -> Boa Viagem,Nova Descoberta --[Rua Urandi]--> Brejo de Beberibe | Brejo de Beberibe --[Rua Uriel De Holanda]--> Alto José Bonifácio | Alto José Bonifácio --[Rua Arlindo Cisneiros]--> Alto Santa Teresinha | Alto Santa Teresinha --[Rua Alto do Tiro]--> Bomba do Hemetério | Bomba do Hemetério --[Rua Professor Manuel Torres]--> Arruda | Arruda --[Rua Petronila Botelho]--> Campo Grande | Campo Grande --[Rua Projetada]--> Santo Amaro | Santo Amaro --[Rua Princesa Isabel]--> Santo Antônio | Santo Antônio --[Rua Do Porao]--> São José | São José --[Avenida Antônio de Goes]--> Pina | Pina --[Rua Delegado Tercio Soares De Aquino]--> Boa Viagem
Aflitos,Pina,Aflitos,Pina,1991.66,Aflitos -> Graças -> Derby -> Boa Vista -> Santo Antônio -> São José -> Pina,Aflitos --[Rua Teles Junior]--> Graças | Graças --[Rua Guilherme Pinto]--> Derby | Derby --[Rua Paissandu]--> Boa Vista | Boa Vista --[Rua Princesa Isabel]--> Santo Antônio | Santo Antônio --[Rua Do Porao]--> São José | São José --[Avenida Antônio de Goes]--> Pina
Casa Amarela,Espinheiro,Casa Amarela,Espinheiro,569.53,Casa Amarela -> Tamarineira -> Graças -> Espinheiro,Casa Amarela --[Rua Desembargador Gois Cavalcante]--> Tamarineira | Tamarineira --[Rua Capitao Sampaio Xavier]--> Graças | Graças --[Rua Conselheiro Portela]--> Espinheiro
Afogados,Brasília Teimosa,Afogados,Brasília Teimosa,2012.93,Afogados -> Bongi -> Prado -> Madalena -> Derby -> Boa Vista -> Santo Antônio -> São José -> Pina -> Brasília Teimosa,Afogados --[Rua Professor Celestin Malzac]--> Bongi | Bongi --[Rua Professor Mario Ramos]--> Prado | Prado --[Praca Na Rua Joao Crescencio]--> Madalena | Madalena --[Avenida Beira Rio]--> Derby | Derby --[Rua Paissandu]--> Boa Vista | Boa Vista --[Rua Princesa Isabel]--> Santo Antônio | Santo Antônio --[Rua Do Porao]--> São José | São José --[Avenida Antônio de Goes]--> Pina | Pina --[Rua Dentudo]--> Brasília Teimosa
Santo Amaro,Ilha do Leite,Santo Amaro,Ilha do Leite,757.54,Santo Amaro -> Santo Antônio -> Coelhos -> Ilha do Leite,Santo Amaro --[Rua Princesa Isabel]--> Santo Antônio | Santo Antônio --[Rua Doutor Jose Mariano]--> Coelhos | Coelhos --[Rua Jose De Alencar]--> Ilha do Leite
Casa Forte,Boa Vista,Casa Forte,Boa Vista,1258.85,Casa Forte -> Parnamirim -> Tamarineira -> Graças -> Derby -> Boa Vista,Casa Forte --[Rua Da Harmonia]--> Parnamirim | Parnamirim --[Rua Albino Meira]--> Tamarineira | Tamarineira --[Rua Capitao Sampaio Xavier]--> Graças | Graças --[Rua Guilherme Pinto]--> Derby | Derby --[Rua Paissandu]--> Boa Vista
