bairro_origem,bairro_destino,nome_logradouro,distancia
Ilha Joana Bezerra,São José,Avenida Central,3664.29
Jardim São Paulo,Jiquiá,Avenida Central,2317.7
Jardim São Paulo,Tejipió,Avenida Central,3768.49
Jiquiá,Mangueira,Avenida Central,980.0
Dois Unidos,Passarinho,Avenida Chagas Ferreira,3538.5
Boa Vista,Soledade,Avenida Conde da Boa Vista,3392.26
Boa Viagem,Pina,Avenida Conselheiro Aguiar,5133.6
Aflitos,Espinheiro,Avenida Conselheiro Rosa e Silva,263.32
Aflitos,Graças,Avenida Conselheiro Rosa e Silva,1698.13
Espinheiro,Graças,Avenida Conselheiro Rosa e Silva,1583.34
Graças,Jaqueira,Avenida Conselheiro Rosa e Silva,1522.41
Graças,Tamarineira,Avenida Conselheiro Rosa e Silva,1966.9
Jaqueira,Tamarineira,Avenida Conselheiro Rosa e Silva,471.16
Bongi,San Martin,Avenida Cônsul Vilares Fragoso,743.82
Campo Grande,Peixinhos,Avenida Correia de Brito,1553.3
Apipucos,Caxangá,Avenida da Recuperação,2015.43
Apipucos,Córrego do Jenipapo,Avenida da Recuperação,3015.26
Apipucos,Dois Irmãos,Avenida da Recuperação,5182.0
Brejo da Guabiraba,Córrego do Jenipapo,Avenida da Recuperação,2435.26
Brejo da Guabiraba,Guabiraba,Avenida da Recuperação,7886.04
Brejo da Guabiraba,Passarinho,Avenida da Recuperação,5376.79
Caxangá,Dois Irmãos,Avenida da Recuperação,4094.03
Córrego do Jenipapo,Dois Irmãos,Avenida da Recuperação,5093.86
Córrego do Jenipapo,Guabiraba,Avenida da Recuperação,8377.9
Dois Irmãos,Guabiraba,Avenida da Recuperação,10544.64
Guabiraba,Passarinho,Avenida da Recuperação,11319.43
Santo Antônio,São José,Avenida Dantas Barreto,3808.18
Boa Viagem,Imbiribeira,Avenida Desembargador José Neves,2841.9
Casa Forte,Parnamirim,Avenida Dezessete de Agosto,1130.68
Casa Forte,Santana,Avenida Dezessete de Agosto,739.83
Parnamirim,Santana,Avenida Dezessete de Agosto,1113.13
Boa Viagem,Imbiribeira,Avenida Dom João VI,2566.13
Alto do Mandu,Casa Amarela,Avenida Doutor Eurico Chaves,632.25
Alto do Mandu,Monteiro,Avenida Doutor Eurico Chaves,893.44
Casa Amarela,Monteiro,Avenida Doutor Eurico Chaves,394.1
Areias,Barro,Avenida Doutor José Rufino,2943.01
Areias,Estância,Avenida Doutor José Rufino,1378.27
Areias,Jiquiá,Avenida Doutor José Rufino,1278.08
Barro,Tejipió,Avenida Doutor José Rufino,2304.74
Estância,Jiquiá,Avenida Doutor José Rufino,705.71
Brejo da Guabiraba,Guabiraba,Avenida Embaixador Assis Chateaubriand,603.06
Bongi,Prado,Avenida Engenheiro Abdias de Carvalho,3147.91
Bongi,San Martin,Avenida Engenheiro Abdias de Carvalho,994.69
Cordeiro,Prado,Avenida Engenheiro Abdias de Carvalho,4292.22
Cordeiro,San Martin,Avenida Engenheiro Abdias de Carvalho,2139.0
Cordeiro,Torrões,Avenida Engenheiro Abdias de Carvalho,3488.85
Ilha do Retiro,Madalena,Avenida Engenheiro Abdias de Carvalho,1052.25
Ilha do Retiro,Prado,Avenida Engenheiro Abdias de Carvalho,3937.87
Madalena,Prado,Avenida Engenheiro Abdias de Carvalho,3272.15
Prado,San Martin,Avenida Engenheiro Abdias de Carvalho,4004.55
San Martin,Torrões,Avenida Engenheiro Abdias de Carvalho,3201.17
Rosarinho,Tamarineira,Avenida Engenheiro Agamenon de Magalhães Melo,668.39
Boa Viagem,Pina,Avenida Engenheiro Domingos Ferreira,10089.24
Cabanga,São José,Avenida Engenheiro José Estelita,3983.26
Areias,Estância,Avenida Estância,526.18
Cordeiro,Prado,Avenida General San Martin,1224.98
Cordeiro,San Martin,Avenida General San Martin,3106.45
Prado,San Martin,Avenida General San Martin,1899.57
Boa Vista,Derby,Avenida Governador Agamenon Magalhães,4489.83
Boa Vista,Espinheiro,Avenida Governador Agamenon Magalhães,5769.32
Boa Vista,Graças,Avenida Governador Agamenon Magalhães,3893.66
Boa Vista,Ilha do Leite,Avenida Governador Agamenon Magalhães,2920.03
Boa Vista,Paissandu,Avenida Governador Agamenon Magalhães,5369.79
Boa Vista,Santo Amaro,Avenida Governador Agamenon Magalhães,6709.68
Campo Grande,Santo Amaro,Avenida Governador Agamenon Magalhães,7487.28
Campo Grande,Torreão,Avenida Governador Agamenon Magalhães,5435.57
Derby,Graças,Avenida Governador Agamenon Magalhães,3341.14
Derby,Paissandu,Avenida Governador Agamenon Magalhães,4817.27
Espinheiro,Graças,Avenida Governador Agamenon Magalhães,4620.63
Espinheiro,Santo Amaro,Avenida Governador Agamenon Magalhães,7436.65
Espinheiro,Torreão,Avenida Governador Agamenon Magalhães,5384.94
Ilha do Leite,Paissandu,Avenida Governador Agamenon Magalhães,3247.47
Santo Amaro,Torreão,Avenida Governador Agamenon Magalhães,6325.3
Beberibe,Dois Unidos,Avenida Hildebrando de Vasconcelos,2954.19
Dois Unidos,Passarinho,Avenida Hildebrando de Vasconcelos,2859.62
Cordeiro,Torrões,Avenida Inacio Monteiro,1413.06
Estância,Jiquiá,Avenida João Cabral de Melo Neto,1371.64
Boa Vista,Espinheiro,Avenida João de Barros,1172.63
Boa Vista,Santo Amaro,Avenida João de Barros,1225.73
Boa Vista,Soledade,Avenida João de Barros,507.89
Encruzilhada,Espinheiro,Avenida João de Barros,1226.72
Espinheiro,Santo Amaro,Avenida João de Barros,1596.38
Santo Amaro,Soledade,Avenida João de Barros,931.64
Caxangá,Várzea,Avenida Joaquim Ribeiro,3720.93
Curado,Jardim São Paulo,Avenida Liberdade,1010.42
Curado,Sancho,Avenida Liberdade,1260.98
Curado,Tejipió,Avenida Liberdade,1619.99
Curado,Totó,Avenida Liberdade,1280.73
Jardim São Paulo,Tejipió,Avenida Liberdade,684.31
Sancho,Tejipió,Avenida Liberdade,934.86
Sancho,Totó,Avenida Liberdade,595.6
