bairro_origem,bairro_destino,nome_logradouro,distancia
Mangueira,San Martin,Rua Vinte e Um de Abril,1671.35
Mustardinha,San Martin,Rua Vinte e Um de Abril,1090.25
San Martin,Torrões,Rua Vinte e Um de Abril,1551.05
Água Fria,Fundão,Rua Violeta,184.71
Boa Vista,Ilha do Leite,Rua Visconde de Goiana,450.56
Madalena,Zumbi,Rua Visconde do Uruguai,594.87
Derby,Paissandu,Rua Viscondessa do Livramento,340.09
Água Fria,Arruda,Rua Zeferino Agra,1178.94
Curado,Torrões,Viaduto Alça do Complexo Ceasa,2876.51
Curado,Torrões,Viaduto Alça do Complexo Ceasa,2876.51
