bairro_origem,bairro_destino,nome_logradouro
Casa Amarela,Monteiro,AV DR EURICO CHAVES
Casa Amarela,Monteiro,EST DO ARRAIAL
Casa Amarela,Monteiro,EST DO ENCANAMENTO
Casa Amarela,Monteiro,RUA DUAS BARRAS
Casa Amarela,Monteiro,RUA EUCLIDES FRAZAO
Casa Amarela,Monteiro,RUA GUERRA DE HOLANDA
Casa Amarela,Monteiro,RUA IGUATAMA
Casa Amarela,Monteiro,RUA MARACA
Casa Amarela,Monteiro,RUA PIRACANJUBA
Casa Amarela,Monteiro,RUA SANTA IZABEL
Casa Amarela,Morro da Conceição,AV NORTE MIGUEL ARRAES DE ALENCAR
Casa Amarela,Morro da Conceição,LGO DOM LUIZ
Casa Amarela,Morro da Conceição,RUA BUGARI
Casa Amarela,Morro da Conceição,RUA GUAICARA
Casa Amarela,Morro da Conceição,RUA JOAQUIM TEIXEIRA
Casa Amarela,Nova Descoberta,AV NORTE MIGUEL ARRAES DE ALENCAR
Casa Amarela,Parnamirim,EST DO ENCANAMENTO
Casa Amarela,Parnamirim,RUA DA ESTRELA
Casa Amarela,Parnamirim,RUA DA HARMONIA
Casa Amarela,Parnamirim,RUA DES GOIS CAVALCANTE
Casa Amarela,Parnamirim,RUA FERREIRA LOPES
Casa Amarela,Tamarineira,AV NORTE MIGUEL ARRAES DE ALENCAR
Casa Amarela,Tamarineira,AV PROFESSOR JOSE DOS ANJOS
Casa Amarela,Tamarineira,EST DO ARRAIAL
Casa Amarela,Tamarineira,RUA DES GOIS CAVALCANTE
Casa Amarela,Tamarineira,RUA GUIMARAES PEIXOTO
Casa Amarela,Vasco da Gama,AV NORTE MIGUEL ARRAES DE ALENCAR
Casa Amarela,Vasco da Gama,LGO DOM LUIZ
Casa Forte,Parnamirim,AV DEZESSETE DE AGOSTO
Casa Forte,Parnamirim,EST DO ENCANAMENTO
Casa Forte,Parnamirim,RUA ALFREDO FERNANDES
Casa Forte,Parnamirim,RUA DA HARMONIA
Casa Forte,Parnamirim,RUA DONA RITA DE SOUZA
Casa Forte,Parnamirim,RUA DR SAMUEL LINS
Casa Forte,Parnamirim,RUA FLAMENGO
Casa Forte,Parnamirim,RUA LEMOS TORRES
Casa Forte,Santana,AV DEZESSETE DE AGOSTO
Caxangá,Dois Irmãos,AV DA RECUPERACAO
Caxangá,Dois Irmãos,RUA CAMBOA-RIACHO
Caxangá,Iputinga,AV CAXANGA
Caxangá,Iputinga,RUA CAPIBARIBE-RIO
Caxangá,Iputinga,RUA MINISTRO JOAO ALBERTO
Caxangá,Várzea,AV CAXANGA
Caxangá,Várzea,AV JOAQUIM RIBEIRO
Caxangá,Várzea,RUA BELMINO CORREIA
Caxangá,Várzea,RUA CAPIBARIBE-RIO
Caçote,Ibura,AV RECIFE
Caçote,Ibura,RUA TEJIPIO-RIO
Caçote,Ipsep,AV RECIFE
Caçote,Ipsep,RUA TEJIPIO-RIO
Cidade Universitária,Curado,AV PROFESSOR LUIZ FREIRE
Cidade Universitária,Curado,AV VISCONDE DE SAO LEOPOLDO
Cidade Universitária,Curado,ROD BR CENTO E UM
Cidade Universitária,Engenho do Meio,AV VISCONDE DE SAO LEOPOLDO
Cidade Universitária,Engenho do Meio,RUA COSTA SEPULVEDA
Cidade Universitária,Engenho do Meio,RUA GENERAL VARGAS
Cidade Universitária,Engenho do Meio,RUA GOVERNADOR LOPO GARRO
Cidade Universitária,Engenho do Meio,RUA LINDOLFO COLLOR
Cidade Universitária,Iputinga,AV PROFESSOR MORAES REGO
Cidade Universitária,Iputinga,ROD BR CENTO E UM
Cidade Universitária,Iputinga,RUA GENERAL VARGAS
Cidade Universitária,Iputinga,RUA MAURICEIA
Cidade Universitária,Várzea,AV PROFESSOR ARTUR DE SA
Cidade Universitária,Várzea,AV PROFESSOR MORAES REGO
Cidade Universitária,Várzea,ROD BR CENTO E UM
Cidade Universitária,Várzea,RUA ACADEMICO HELIO RAMOS
Cidade Universitária,Várzea,RUA BARAO DE MAMORE
Cidade Universitária,Várzea,RUA BELEM DE SAO FRANCISCO
Cidade Universitária,Várzea,RUA EDUARDO DUBEUX
Cidade Universitária,Várzea,RUA ISAAC BURIL
Cidade Universitária,Várzea,RUA MARIO CAMPELO
Coelhos,Ilha Joana Bezerra,RUA CAPIBARIBE-RIO
Coelhos,Ilha do Leite,PRC MIGUEL DE CERVANTES
Coelhos,Ilha do Leite,RUA CAPIBARIBE-RIO
Coelhos,Ilha do Leite,RUA FRANCISCO ALVES
Coelhos,Ilha do Leite,RUA JOSE DE ALENCAR
Coelhos,Ilha do Leite,RUA PREFEITO JORGE MARTINS
Coelhos,Santo Antônio,RUA CAPIBARIBE-RIO
Coelhos,Santo Antônio,RUA DR JOSE MARIANO
Coelhos,São José,RUA CAPIBARIBE-RIO
Coqueiral,Sancho,RUA PAULINO DE FARIAS
Coqueiral,Tejipió,AV CENTRAL
Coqueiral,Tejipió,RUA ALCANTARA
Coqueiral,Tejipió,RUA FALCAO DE LACERDA
Coqueiral,Tejipió,RUA GUANABARA
Coqueiral,Tejipió,RUA LOURENCO BEZERRA
Coqueiral,Tejipió,RUA TEJIPIO-RIO
Coqueiral,Tejipió,RUA TUTOIA
Coqueiral,Totó,RUA ANANIAS CATANHO
Coqueiral,Totó,RUA DA ENCOSTA
Coqueiral,Totó,RUA ESCADA
Coqueiral,Totó,RUA LIMITE DE MUNICIPIO
Coqueiral,Totó,RUA MARACAI
Coqueiral,Totó,RUA PAULINO DE FARIAS
Cordeiro,Engenho do Meio,RUA BOM PASTOR
Cordeiro,Engenho do Meio,RUA DR MIGUEL VIEIRA FERREIRA
Cordeiro,Iputinga,AV CAMARAO
Cordeiro,Iputinga,AV CAXANGA
Cordeiro,Iputinga,AV MARIO ALVARES PEREIRA DE LYRA
Cordeiro,Iputinga,AV MAURICIO DE NASSAU
Cordeiro,Iputinga,RUA AMBROSIO MACHADO
Cordeiro,Iputinga,RUA BOM PASTOR
Cordeiro,Iputinga,RUA CAPIBARIBE-RIO
Cordeiro,Iputinga,RUA CONS SILVEIRA DE SOUZA
Cordeiro,Iputinga,RUA CORONEL FERNANDO FURTADO
Cordeiro,Iputinga,RUA DR GASTAO DA SILVEIRA
Cordeiro,Iputinga,RUA JOAO ROZENDO
Cordeiro,Iputinga,RUA N S DA SAUDE
Cordeiro,Prado,AV ENGENHEIRO ABDIAS DE CARVALHO
Cordeiro,Prado,AV GENERAL SAN MARTIN
Cordeiro,Prado,RUA GOMES TABORDA
Cordeiro,San Martin,AV ENGENHEIRO ABDIAS DE CARVALHO
Cordeiro,San Martin,AV GENERAL SAN MARTIN
Cordeiro,Santana,RUA CAPIBARIBE-RIO
Cordeiro,Torre,RUA CAPIBARIBE-RIO
Cordeiro,Torre,RUA REPUBLICA DA ARGELIA ( CICLOVIA )
Cordeiro,Torre,RUA SOUZA BANDEIRA
Cordeiro,Torrões,1TR SITIO DAS PALMEIRAS
Cordeiro,Torrões,AV ENGENHEIRO ABDIAS DE CARVALHO
Cordeiro,Torrões,AV INACIO MONTEIRO
Cordeiro,Torrões,EST DO FORTE DO ARRAIAL N. DO B. JESUS
Cordeiro,Torrões,RUA ANTONIO CARLOS
Cordeiro,Torrões,RUA ANTONIO VALDEVINO COSTA
Cordeiro,Torrões,RUA DANIEL LISBOA
Cordeiro,Torrões,RUA DEZESSEIS DE OUTUBRO
Cordeiro,Torrões,RUA DR MIGUEL VIEIRA FERREIRA
Cordeiro,Torrões,RUA FELIXLANDIA
Cordeiro,Torrões,RUA IJUI
Cordeiro,Torrões,RUA MANOEL GONCALVES DE OLIVEIRA
Cordeiro,Torrões,RUA MARAVILHA
Cordeiro,Torrões,RUA OCIDENTAL
Cordeiro,Torrões,RUA ONZE DE FEVEREIRO
Cordeiro,Torrões,RUA RIO GRANDE DO NORTE
Cordeiro,Zumbi,AV CAXANGA
Cordeiro,Zumbi,RUA GOMES TABORDA
Cordeiro,Zumbi,RUA GREGORIO JUNIOR
Cordeiro,Zumbi,RUA PADRE LEONARDO GRECO
Cordeiro,Zumbi,RUA RIBEIRO ROMA
Cordeiro,Zumbi,RUA SOUZA BANDEIRA
Cordeiro,Zumbi,RUA TOMAZ GONZAGA
Curado,Engenho do Meio,AV RECIFE
Curado,Engenho do Meio,AV VISCONDE DE SAO LEOPOLDO
Curado,Jardim São Paulo,AV CENTRAL
Curado,Jardim São Paulo,AV LIBERDADE
Curado,Jardim São Paulo,AV PIRACICABA
Curado,Jardim São Paulo,AV RECIFE
Curado,Jardim São Paulo,EST DO CURADO
Curado,Jardim São Paulo,ROD BR CENTO E UM
Curado,Jardim São Paulo,RUA AGOSTINHO BARBALHO
Curado,Jardim São Paulo,RUA CORONEL FERNANDO MACHADO
Curado,Jardim São Paulo,RUA EUZEBIO DE MATOS
Curado,Jardim São Paulo,RUA GASTAO DE CARVALHO
Curado,Jardim São Paulo,RUA JOSE TAVARES DE HOLANDA
Curado,Jardim São Paulo,RUA JUNDIAI
Curado,Jardim São Paulo,RUA RAPHAEL DE OLIVEIRA ALVES
Curado,Jardim São Paulo,RUA S D 5513
Curado,Jardim São Paulo,RUA S D 5519
Curado,San Martin,AV RECIFE
Curado,San Martin,RUA CORONEL MIZAEL DE MENDONCA
Curado,San Martin,RUA DR FLAVIO FERREIRA DA SILVA MAROJO
Curado,San Martin,RUA VINTE E UM DE ABRIL
Curado,Sancho,AV LIBERDADE
Curado,Tejipió,AV CENTRAL
Curado,Tejipió,AV LIBERDADE
Curado,Tejipió,ROD BR CENTO E UM
Curado,Tejipió,RUA TEJIPIO-RIO
Curado,Torrões,1TR ENGENHEIRO ABDIAS DE CARVALHO
Curado,Torrões,AV RECIFE
Curado,Torrões,RUA DR FLAVIO FERREIRA DA SILVA MAROJO
Curado,Torrões,RUA VINTE E UM DE ABRIL
Curado,Torrões,VDO ALCA DO COMPLEXO CEASA
Curado,Totó,AV LIBERDADE
Curado,Totó,RUA GARCIA
Curado,Totó,RUA ONZE DE AGOSTO
Curado,Totó,RUA UTINGA
Curado,Totó,TRV GARCIA
Curado,Várzea,AV CENTRAL
Curado,Várzea,ROD BR CENTO E UM
Curado,Várzea,RUA HISTORIADOR LUIZ DO NASCIMENTO
Curado,Várzea,RUA TEJIPIO-RIO
Curado,Várzea,TRV FRANCISCO RODRIGUES LOBO
Córrego do Jenipapo,Dois Irmãos,AV DA RECUPERACAO
Córrego do Jenipapo,Dois Irmãos,ROD BR CENTO E UM
Córrego do Jenipapo,Guabiraba,AV DA RECUPERACAO
Córrego do Jenipapo,Guabiraba,ROD BR CENTO E UM
Córrego do Jenipapo,Macaxeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Córrego do Jenipapo,Macaxeira,RUA ALTO DO FORMOSO
Córrego do Jenipapo,Macaxeira,RUA ALTO SANTA LUZIA
Córrego do Jenipapo,Macaxeira,RUA ERUNDINA NEGREIROS DE ARAUJO
Córrego do Jenipapo,Macaxeira,RUA TRAJANO DE MORAIS
Córrego do Jenipapo,Nova Descoberta,AV NORTE MIGUEL ARRAES DE ALENCAR
Córrego do Jenipapo,Nova Descoberta,RUA ALTO DO RESERVATORIO
Córrego do Jenipapo,Nova Descoberta,RUA ALTO SANTA LUZIA
Derby,Graças,AV BEIRA RIO
Derby,Graças,AV GOVERNADOR AGAMENON MAGALHAES
Derby,Graças,RUA CAPIBARIBE-RIO
Derby,Graças,RUA GUILHERME PINTO
Derby,Graças,RUA JOAQUIM NABUCO
Derby,Ilha do Retiro,AV BEIRA RIO
Derby,Ilha do Retiro,RUA CAPIBARIBE-RIO
Derby,Madalena,AV BEIRA RIO
Derby,Madalena,RUA CAPIBARIBE-RIO
Derby,Paissandu,AV GOVERNADOR AGAMENON MAGALHAES
Derby,Paissandu,RUA CAPIBARIBE-RIO
Derby,Paissandu,RUA PAISSANDU
Derby,Paissandu,RUA VIS DO LIVRAMENTO
Dois Irmãos,Guabiraba,AV DA RECUPERACAO
Dois Irmãos,Guabiraba,EST DOS MACACOS
Dois Irmãos,Guabiraba,ROD BR CENTO E UM
Dois Irmãos,Guabiraba,RUA LIMITE DE MUNICIPIO
Dois Unidos,Linha do Tiro,AV HILDEBRANDO DE VASCONCELOS
Dois Unidos,Linha do Tiro,AV RIO MORNO
Dois Unidos,Linha do Tiro,RUA ELADIO CAMBOIM
Dois Unidos,Linha do Tiro,RUA GUARAJA
Dois Unidos,Linha do Tiro,RUA IZALTINO LOBO
Dois Unidos,Linha do Tiro,RUA MORNO-RIO
Dois Unidos,Linha do Tiro,RUA RIO TINTO
Dois Unidos,Passarinho,AV CHAGAS FERREIRA
Dois Unidos,Passarinho,AV HILDEBRANDO DE VASCONCELOS
Dois Unidos,Passarinho,RUA BEBERIBE-RIO
Dois Unidos,Passarinho,RUA COMPOSITOR RAUL VALENCA
Dois Unidos,Passarinho,RUA CORONEL PILAR
Dois Unidos,Passarinho,RUA DO AGAVE
Dois Unidos,Passarinho,RUA DR ANTONIO DA ROSA BORGES
Dois Unidos,Passarinho,RUA ENGENHEIRO CELIO DE CARLI
Dois Unidos,Passarinho,RUA MORNO-RIO
Dois Unidos,Passarinho,RUA VALE FUNDO
Encruzilhada,Espinheiro,AV JOAO DE BARROS
Encruzilhada,Espinheiro,AV NORTE MIGUEL ARRAES DE ALENCAR
Encruzilhada,Espinheiro,RUA CONS PORTELA
Encruzilhada,Espinheiro,RUA QUARENTA E OITO
Encruzilhada,Graças,AV SANTOS DUMONT
Encruzilhada,Graças,RUA CONS PORTELA
Encruzilhada,Graças,RUA TELES JUNIOR
Encruzilhada,Hipódromo,EST DE BELEM
Encruzilhada,Hipódromo,RUA COSTA PINTO
Encruzilhada,Hipódromo,RUA DONA ELVIRA
Encruzilhada,Hipódromo,RUA FREDERICO
Encruzilhada,Hipódromo,RUA PROFESSOR JERONIMO GUEIROS
Encruzilhada,Hipódromo,RUA PROFESSOR MIRANDA CURIO
Encruzilhada,Ponto de Parada,AV BEBERIBE
Encruzilhada,Ponto de Parada,AV SANTOS DUMONT
Encruzilhada,Ponto de Parada,RUA COSTA PINTO
Encruzilhada,Ponto de Parada,RUA DEPUTADO PEDRO VELHO
Encruzilhada,Ponto de Parada,RUA MEM DE SA
Encruzilhada,Ponto de Parada,RUA PROFESSOR JERONIMO GUEIROS
Encruzilhada,Ponto de Parada,RUA SALVADOR DE SA
Encruzilhada,Rosarinho,AV NORTE MIGUEL ARRAES DE ALENCAR
Encruzilhada,Rosarinho,AV SANTOS DUMONT
Encruzilhada,Rosarinho,RUA AMARO COUTINHO
Encruzilhada,Rosarinho,RUA CAIO PEREIRA
Encruzilhada,Rosarinho,RUA DR JOSE MARIA
Encruzilhada,Rosarinho,RUA SALVADOR DE SA
Encruzilhada,Rosarinho,RUA TELES JUNIOR
Encruzilhada,Torreão,AV NORTE MIGUEL ARRAES DE ALENCAR
Encruzilhada,Torreão,RUA AUGUSTO RODRIGUES
Encruzilhada,Torreão,RUA NATIVIDADE SALDANHA
Encruzilhada,Torreão,RUA OTHON PARAISO
Encruzilhada,Torreão,RUA PADRE MIGUELINHO
Engenho do Meio,Iputinga,AV MUCIO UCHOA CAVALCANTI
Engenho do Meio,Iputinga,RUA BOM PASTOR
Engenho do Meio,Iputinga,RUA GENERAL VARGAS
Engenho do Meio,Torrões,AV RECIFE
Engenho do Meio,Torrões,RUA CARNEIRO DE MARIZ
Engenho do Meio,Torrões,RUA DR MIGUEL VIEIRA FERREIRA
Engenho do Meio,Torrões,RUA POCAO
Engenho do Meio,Torrões,TRV WASHINGTON DUARTE ESPINDOLA
Espinheiro,Graças,AV CONSELHEIRO ROSA E SILVA
Espinheiro,Graças,AV GOVERNADOR AGAMENON MAGALHAES
Espinheiro,Graças,RUA AMELIA
Espinheiro,Graças,RUA CONS PORTELA
Espinheiro,Graças,RUA DA HORA
Espinheiro,Graças,RUA DO ESPINHEIRO
Espinheiro,Graças,RUA SANTO ELIAS
Espinheiro,Graças,RUA SAO SALVADOR
Espinheiro,Santo Amaro,AV GOVERNADOR AGAMENON MAGALHAES
Espinheiro,Santo Amaro,AV JOAO DE BARROS
Espinheiro,Santo Amaro,AV NORTE MIGUEL ARRAES DE ALENCAR
Espinheiro,Torreão,AV GOVERNADOR AGAMENON MAGALHAES
Espinheiro,Torreão,AV NORTE MIGUEL ARRAES DE ALENCAR
Estância,Jardim São Paulo,AV CENTRAL
Estância,Jardim São Paulo,AV RECIFE
Estância,Jardim São Paulo,RUA ALFREDO VIEIRA DE MELO
Estância,Jardim São Paulo,RUA DR GUSTAVO PINTO
Estância,Jardim São Paulo,RUA JIQUIA-RIO
Estância,Jardim São Paulo,RUA N S DE FATIMA
Estância,Jardim São Paulo,RUA SENADOR ALBERTO PASQUALINI
Estância,Jiquiá,1TR PRINCIPE DA BEIRA
Estância,Jiquiá,AV CENTRAL
Estância,Jiquiá,AV DR JOSE RUFINO
Estância,Jiquiá,AV JOAO CABRAL DE M. NETO
Estância,Jiquiá,AV TAPAJOS
Estância,Jiquiá,RUA ANDRE VIEIRA DE MELO
Estância,Jiquiá,RUA BOTUVERA
Estância,Jiquiá,RUA CASSIANO
Estância,Jiquiá,RUA JIQUIA-RIO
Estância,Jiquiá,RUA JOAO TEIXEIRA
Estância,Jiquiá,RUA PROFESSOR CALDAS FILHO
Estância,Jiquiá,RUA TUPARETAMA
Estância,San Martin,AV RECIFE
Estância,San Martin,RUA JIQUIA-RIO
Fundão,Porto da Madeira,AV ANIBAL BENEVOLO
Fundão,Porto da Madeira,AV BEBERIBE
Fundão,Porto da Madeira,RUA ALTO DO BENJAMIM
Fundão,Porto da Madeira,RUA CONS BARROS BARRETO
Fundão,Água Fria,AV ANIBAL BENEVOLO
Fundão,Água Fria,AV BEBERIBE
Fundão,Água Fria,RUA ALTO BONITO
Fundão,Água Fria,RUA CONS BARROS BARRETO
Fundão,Água Fria,RUA CONTENDAS
Fundão,Água Fria,RUA CORONEL URBANO RIBEIRO DE SENA
Fundão,Água Fria,RUA DO MACHADO
Fundão,Água Fria,RUA DR PEREIRA DA SILVA
Fundão,Água Fria,RUA JORNALISTA JOSE CAMPELO JUNIOR
Fundão,Água Fria,RUA MANOEL SILVA
Fundão,Água Fria,RUA SAO JOAQUIM DO MONTE
Fundão,Água Fria,RUA SAO SEBASTIAO
Fundão,Água Fria,RUA VIOLETA
Graças,Jaqueira,AV CONSELHEIRO ROSA E SILVA
Graças,Jaqueira,AV RUI BARBOSA
Graças,Jaqueira,RUA ANTENOR NAVARRO
Graças,Jaqueira,RUA ANTONIO CELSO UCHOA CAVALCANTI
Graças,Jaqueira,RUA CAPIBARIBE-RIO
Graças,Jaqueira,RUA DEPUTADO PEDRO PIRES FERREIRA
Graças,Jaqueira,RUA DO FUTURO
Graças,Madalena,AV BEIRA RIO
Graças,Madalena,RUA CAPIBARIBE-RIO
Graças,Rosarinho,AV SANTOS DUMONT
Graças,Rosarinho,RUA CAPITAO SAMPAIO XAVIER
Graças,Rosarinho,RUA DES MARTINS PEREIRA
Graças,Rosarinho,RUA TELES JUNIOR
Graças,Tamarineira,AV CONSELHEIRO ROSA E SILVA
Graças,Tamarineira,RUA CAPITAO SAMPAIO XAVIER
Graças,Tamarineira,RUA DO FUTURO
Graças,Tamarineira,RUA RICARDO HARDMAN
Graças,Torre,AV BEIRA RIO
Graças,Torre,RUA CAPIBARIBE-RIO
Guabiraba,Passarinho,AV DA RECUPERACAO
Guabiraba,Passarinho,ROD BR CENTO E UM
Guabiraba,Passarinho,RUA LIMITE DE MUNICIPIO
Guabiraba,Passarinho,RUA MORNO-RIO
Guabiraba,Passarinho,RUA PROJETADA
Hipódromo,Ponto de Parada,RUA COSTA PINTO
Hipódromo,Ponto de Parada,RUA PROFESSOR JERONIMO GUEIROS
Ibura,Imbiribeira,AV MARECHAL MASCARENHAS DE MORAES
Ibura,Imbiribeira,AV PRESIDENTE DUTRA
Ibura,Imbiribeira,RUA GONCALVES DE MAGALHAES
Ibura,Imbiribeira,RUA TEJIPIO-RIO
Ibura,Ipsep,AV RECIFE
Ibura,Ipsep,RUA TEJIPIO-RIO
Ibura,Jordão,1TR JOSE MARTORANO
Ibura,Jordão,AV CENTENARIO ALBERTO SANTOS DUMONT
Ibura,Jordão,AV MARECHAL MASCARENHAS DE MORAES
Ibura,Jordão,AV MARIA IRENE
Ibura,Jordão,ROD BR CENTO E UM
Ibura,Jordão,RUA ASSIS BRASIL
Ibura,Jordão,RUA BARRA DOS COQUEIROS
Ibura,Jordão,RUA BOQUIRA
Ibura,Jordão,RUA CAFARNAUM
Ibura,Jordão,RUA CAMOCIM
Ibura,Jordão,RUA CAMPO DO JORDAO
Ibura,Jordão,RUA CAMPOS DO JORDAO
Ibura,Jordão,RUA CATOLE DO ROCHA
Ibura,Jordão,RUA ELESBAO VELOSO
Ibura,Jordão,RUA FERNANDES BELO
Ibura,Jordão,RUA FRANCISCO BELTRAO
Ibura,Jordão,RUA JOSE MARTORANO
Ibura,Jordão,RUA VINTE E DOIS DE AGOSTO
Ibura,Jordão,TRV BARRA DOS COQUEIROS
Ilha Joana Bezerra,Ilha do Leite,RUA CAPIBARIBE-RIO
Ilha Joana Bezerra,Ilha do Retiro,AV BEIRA RIO
Ilha Joana Bezerra,Ilha do Retiro,RUA CAPIBARIBE-RIO
Ilha Joana Bezerra,Paissandu,RUA CAPIBARIBE-RIO
Ilha Joana Bezerra,São José,AV CENTRAL
Ilha Joana Bezerra,São José,AV RIO CAPIBARIBE
Ilha Joana Bezerra,São José,RUA CABO EUTROPIO
Ilha Joana Bezerra,São José,RUA CAPIBARIBE-RIO
Ilha do Leite,Paissandu,AV GOVERNADOR AGAMENON MAGALHAES
Ilha do Leite,Paissandu,RUA CAPIBARIBE-RIO
Ilha do Leite,Paissandu,RUA DR JOAO ASFORA
Ilha do Leite,Paissandu,RUA ESTADO DE ISRAEL
Ilha do Leite,Paissandu,RUA FREI MATIAS TEVIS
Ilha do Leite,Paissandu,RUA GENERAL JOAQUIM INACIO
Ilha do Leite,Paissandu,RUA PREFEITO JORGE MARTINS
Ilha do Retiro,Madalena,AV BEIRA RIO
Ilha do Retiro,Madalena,AV ENGENHEIRO ABDIAS DE CARVALHO
Ilha do Retiro,Madalena,AV SPORT CLUBE DO RECIFE
Ilha do Retiro,Madalena,EST DOS REMEDIOS
Ilha do Retiro,Madalena,PRC DA BANDEIRA
Ilha do Retiro,Madalena,RUA CAPIBARIBE-RIO
Ilha do Retiro,Madalena,RUA COMENDADOR BENTO AGUIAR
Ilha do Retiro,Madalena,RUA JOAO IVO DA SILVA
Ilha do Retiro,Madalena,RUA SENADOR FABIO DE BARROS
Ilha do Retiro,Paissandu,RUA CAPIBARIBE-RIO
Ilha do Retiro,Prado,AV ENGENHEIRO ABDIAS DE CARVALHO
Ilha do Retiro,Prado,RUA JOAO IVO DA SILVA
Ilha do Retiro,Prado,RUA PADRE TEOFILO TWORZ
Imbiribeira,Ipsep,AV SENADOR ROBERT KENNEDY
Imbiribeira,Ipsep,RUA JEAN EMILE FAVRE
Imbiribeira,Ipsep,RUA JOSE FERNANDES PORTUGAL
Imbiribeira,Ipsep,RUA POTENGY
Imbiribeira,Ipsep,RUA RIO BEBERIBE
Imbiribeira,Ipsep,RUA RIO OCEANICO
Imbiribeira,Ipsep,RUA TEJIPIO-RIO
Imbiribeira,Jiquiá,RUA TEJIPIO-RIO
Imbiribeira,Pina,RUA JORDAO-RIO
Imbiribeira,Pina,RUA SAO JOSE
Iputinga,Monteiro,RUA CAPIBARIBE-RIO
Iputinga,Várzea,AV CAXANGA
Iputinga,Várzea,AV PROFESSOR MORAES REGO
Iputinga,Várzea,ROD BR CENTO E UM
Iputinga,Várzea,RUA CAPIBARIBE-RIO
Iputinga,Várzea,RUA EMILIANO BRAGA
Iputinga,Várzea,RUA JOAO SALES MENEZES
Jaqueira,Parnamirim,RUA LEONARDO BEZERRA CAVALCANTI
Jaqueira,Parnamirim,RUA MUNIZ TAVARES
Jaqueira,Parnamirim,RUA PADRE ROMA
Jaqueira,Santana,RUA CAPIBARIBE-RIO
Jaqueira,Santana,RUA LEONARDO BEZERRA CAVALCANTI
Jaqueira,Tamarineira,AV CONSELHEIRO ROSA E SILVA
Jaqueira,Tamarineira,RUA DO FUTURO
Jaqueira,Tamarineira,RUA PADRE ROMA
Jaqueira,Tamarineira,RUA SIMAO MENDES
Jaqueira,Torre,RUA CAPIBARIBE-RIO
Jardim São Paulo,Jiquiá,AV CENTRAL
Jardim São Paulo,Jiquiá,RUA JIQUIA-RIO
Jardim São Paulo,San Martin,AV RECIFE
Jardim São Paulo,San Martin,RUA JIQUIA-RIO
Jardim São Paulo,Tejipió,AV CENTRAL
Jardim São Paulo,Tejipió,AV LIBERDADE
Jardim São Paulo,Tejipió,ROD BR CENTO E UM
Jardim São Paulo,Tejipió,RUA IRAGUACU
Jiquiá,Mangueira,AV CENTRAL
Jiquiá,Mangueira,RUA BOM JARDIM
Jiquiá,San Martin,RUA BOM JARDIM
Jiquiá,San Martin,RUA CORDELIA GOIS SILVA
Jiquiá,San Martin,RUA JIQUIA-RIO
Jiquiá,San Martin,RUA PEDRO BOULITREAU
Jiquiá,San Martin,RUA TENENTE MINDELO
Jiquiá,San Martin,TRV PEDRO BOULITREAU
Linha do Tiro,Água Fria,AV ANIBAL BENEVOLO
Macaxeira,Nova Descoberta,AV NORTE MIGUEL ARRAES DE ALENCAR
Macaxeira,Nova Descoberta,RUA ALTO ANTONIO FELIX
Macaxeira,Nova Descoberta,RUA ALTO JARDIM PROGRESSO
Macaxeira,Nova Descoberta,RUA ALTO SANTA LUZIA
Macaxeira,Nova Descoberta,RUA ANTONIO CARNEIRO
Macaxeira,Nova Descoberta,RUA BUJARU
Macaxeira,Nova Descoberta,RUA BURITIRANO
Macaxeira,Nova Descoberta,RUA CARLOS MARIGHELLA
Macaxeira,Nova Descoberta,RUA CARNAIBA
Macaxeira,Nova Descoberta,RUA CORREGO DA AREIA
Macaxeira,Nova Descoberta,RUA FRANCISCO PASSOS
Macaxeira,Nova Descoberta,RUA JOSE CARLOS NOVAES DA MATA MACHADO
Macaxeira,Nova Descoberta,RUA JUREMAL
Macaxeira,Nova Descoberta,RUA LUIZA DA COSTA MELO
Macaxeira,Nova Descoberta,RUA NAGE
Macaxeira,Nova Descoberta,RUA S D 3014
Macaxeira,Nova Descoberta,RUA SAO JOAO EUDES
Macaxeira,Nova Descoberta,TRV JOSE CARLOS N. DA MATA MACHADO
Madalena,Paissandu,RUA CAPIBARIBE-RIO
Madalena,Prado,AV ENGENHEIRO ABDIAS DE CARVALHO
Madalena,Prado,PRC NA RUA JOAO CRESCENCIO
Madalena,Prado,RUA ANTONIO DE SA
Madalena,Prado,RUA CARATINGA
Madalena,Prado,RUA CARLOS GOMES
Madalena,Prado,RUA DELFINOPOLIS
Madalena,Prado,RUA JOAO IVO DA SILVA
Madalena,Prado,RUA MANICORE
Madalena,Prado,RUA PROFESSOR LINS E SILVA
Madalena,Prado,RUA QUATRO DE OUTUBRO
Madalena,Prado,RUA RICARDO SALAZAR
Madalena,Prado,RUA VIRGINIO CAMPELLO
Madalena,Torre,AV BEIRA RIO
Madalena,Torre,RUA CAPIBARIBE-RIO
Madalena,Torre,RUA DAVINO PONTUAL
Madalena,Torre,RUA DOM MANOEL DA COSTA
Madalena,Torre,RUA JOSE BONIFACIO
Madalena,Torre,RUA PADRE ANCHIETA
Madalena,Torre,RUA PADRE LANDIM
Madalena,Torre,RUA PIO IX
Madalena,Torre,RUA REAL DA TORRE
Madalena,Zumbi,AV CAXANGA
Madalena,Zumbi,RUA CARATINGA
Madalena,Zumbi,RUA DOM MANOEL DA COSTA
Madalena,Zumbi,RUA JOAO DA MATA
Madalena,Zumbi,RUA VISCONDE DO URUGUAI
