bairro_origem,bairro_destino,logradouro,peso
Boa Viagem,Pina,Rua Delegado Tercio Soares De Aquino,182.89
Água Fria,Fundão,Rua Violeta,184.71
Macaxeira,Nova Descoberta,Rua Buritirano,184.93
Casa Amarela,Morro da Conceição,Rua Joaquim Teixeira,188.34
Dois Unidos,Linha do Tiro,Rua Guaraja,191.22
Água Fria,Bomba do Hemetério,Rua Sao Rafael,191.61
Macaxeira,Nova Descoberta,Rua Bujaru,192.38
Boa Viagem,Imbiribeira,Rua Capitao Vicente Da Mota,193.4
Dois Unidos,Linha do Tiro,Rua Rio Tinto,193.7
Nova Descoberta,Vasco da Gama,Rua N S Da Ajuda,194.39
Casa Forte,Parnamirim,Rua Flamengo,194.67
Casa Amarela,Casa Forte,Rua Joao Barbalho,194.98
Recife,São José,Ponte 12 de Setembro,195.0
Brejo de Beberibe,Passarinho,Rua Da Amizade,195.25
Parnamirim,Tamarineira,Rua Albino Meira,196.16
Campina do Barreto,Peixinhos,Rua Jornalista Paulo Matos,196.42
Hipódromo,Ponto de Parada,Rua Costa Pinto,196.92
Boa Viagem,Imbiribeira,Rua Adauto Carneiro Leal,197.03
Ibura,Jordão,Rua Catole Do Rocha,197.54
Cordeiro,Torrões,Rua Maravilha,199.83
Cohab,Barro,Rua São Francisco,200.0
Afogados,Bongi,Rua Maria Jose De Lima,201.2
Cordeiro,Torrões,Rua Manoel Goncalves De Oliveira,201.86
Alto do Mandu,Macaxeira,Rua Aroeira,202.19
Barro,Tejipió,Rua Babaculandia,203.1
Boa Viagem,Imbiribeira,Rua Dos Tijolos,203.8
Casa Amarela,Monteiro,Rua Duas Barras,205.68
Estância,Jardim São Paulo,Rua Alfredo Vieira De Melo,205.71
Brejo de Beberibe,Dois Unidos,Rua Doutor Antonio Da Rosa Borges,206.1
Casa Amarela,Morro da Conceição,Rua Guaicara,206.47
Arruda,Mangabeira,Rua Jacob,206.67
Bongi,Mustardinha,Rua Itapolis,206.94
Nova Descoberta,Vasco da Gama,Rua Arapiraca,207.41
Apipucos,Macaxeira,Rua Dolcinopolis,208.29
Mustardinha,San Martin,Rua Itaquari,210.23
Aflitos,Graças,Rua Teles Junior,212.27
Boa Vista,Derby,Rua Paissandu,212.41
Boa Vista,Coelhos,Rua Jornalista Edmundo Bittencourt,213.19
Córrego do Jenipapo,Macaxeira,Rua Trajano De Morais,214.3
Brejo da Guabiraba,Passarinho,Rua N S Da Piedade,217.76
Afogados,Mustardinha,Rua Desembargador Medeiros Correia,218.67
Arruda,Bomba do Hemetério,Rua Jacob,218.97
Água Fria,Bomba do Hemetério,Rua Avelar,221.39
Jaqueira,Tamarineira,Rua Simao Mendes,221.7
Coqueiral,Tejipió,Rua Tutoia,222.82
Casa Amarela,Tamarineira,Rua Desembargador Gois Cavalcante,224.14
Alto José Bonifácio,Vasco da Gama,Rua Engenho Parol,226.75
Casa Amarela,Morro da Conceição,Rua Bugari,227.46
Boa Vista,Soledade,Rua Corredor Do Bispo,227.65
Arruda,Campo Grande,Rua Petronila Botelho,229.73
Alto José Bonifácio,Alto José do Pinho,Rua Padre Oliveira,230.46
Aflitos,Encruzilhada,Rua Samuel Campelo,231.42
Encruzilhada,Rosarinho,Rua Teles Junior,232.62
Brejo da Guabiraba,Brejo de Beberibe,Rua Portelandia,233.43
Alto José do Pinho,Mangabeira,Rua Avenca,234.38
Alto José Bonifácio,Vasco da Gama,Rua Baulanadia,234.51
Cabanga,São José,Rua Bom Sucesso,235.15
Ibura,Jordão,Rua Campos Do Jordao,236.02
Afogados,Mustardinha,Rua Uberaba,238.72
Madalena,Torre,Rua Davino Pontual,238.85
Campo Grande,Hipódromo,Rua Mateus Tartaruga,241.64
Espinheiro,Graças,Rua Sao Salvador,241.99
Areias,Estância,Rua Dr Adelino Filho,242.09
Graças,Tamarineira,Rua Capitao Sampaio Xavier,244.62
Poço,Monteiro,Estrada do Encanamento,245.0
Bongi,Mustardinha,Rua Maria Jose De Lima,245.27
Ilha do Leite,Paissandu,Rua Dr Joao Asfora,246.51
Curado,Jardim São Paulo,Rua Euzebio De Matos,246.86
Bongi,Prado,Rua Professor Mario Ramos,248.83
Ibura,Jordão,Rua Campo Do Jordao,251.81
Brasília Teimosa,Pina,Rua Robalo,253.42
Apipucos,Macaxeira,Rua Dolores Salgado,253.92
Cajueiro,Campina do Barreto,Rua Nadia,254.48
Água Fria,Fundão,Rua Sao Joaquim Do Monte,255.13
Brejo da Guabiraba,Nova Descoberta,Rua Portelandia,255.2
Coqueiral,Totó,Rua Da Encosta,256.21
Engenho do Meio,Torrões,Rua Pocao,258.31
Alto José do Pinho,Bomba do Hemetério,Rua Arlindo Cisneiros,259.33
Graças,Tamarineira,Rua Ricardo Hardman,262.44
Boa Vista,Soledade,Rua Joaquim Felipe,262.69
Alto do Mandu,Monteiro,Rua Siriji,262.88
Aflitos,Espinheiro,Avenida Conselheiro Rosa E Silva,263.32
Santo Antônio,São José,Rua Das Aguas Verdes,263.82
Boa Vista,Soledade,Rua Goncalves Maia,264.4
Encruzilhada,Ponto de Parada,Rua Costa Pinto,265.9
Bomba do Hemetério,Mangabeira,Rua Jacob,266.48
Afogados,Mangueira,Rua Vereador Francisco De Paula Santana,268.13
Cordeiro,Torrões,Rua Rio Grande Do Norte,268.92
Estância,Jiquiá,Rua Tuparetama,268.97
Mangueira,San Martin,Rua Tanguara,270.67
Boa Vista,Coelhos,Rua Do Jasmim,272.3
Santo Antônio,São José,Rua Vinte E Quatro De Maio,272.58
Água Fria,Campina do Barreto,Rua Coronel Urbano Ribeiro De Sena,272.88
Graças,Jaqueira,Rua Deputado Pedro Pires Ferreira,272.91
Casa Forte,Parnamirim,Rua Dr Samuel Lins,275.42
Córrego do Jenipapo,Macaxeira,Rua Alto Santa Luzia,276.11
