bairro_normalizado,total_empresas,top_3_atividades,microrregiao,grau,centralidade_grau,centralidade_closeness,centralidade_betweenness,cluster_conectividade,top_20_percent
Santo Amaro,2907,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 572}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 238}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 213}]",1.1,7,0.07526881720430108,0.24345549738219896,0.2569832402234637,44,True
Santo Antonio,2232,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 647}, {'atividade': 'INSTITUICOES FINANCEIRAS E SECURITARIAS', 'quantidade': 170}, {'atividade': 'REPRESENTACAO, AGENCIAMENTO, CORRETAGEM', 'quantidade': 165}]",1.2,0,0.0,0.0,0.0,-1,False
Sao Jose,1706,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 717}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 266}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 133}]",1.2,0,0.0,0.0,0.0,-1,False
Sitio Dos Pintos,20,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 8}, {'atividade': 'EDUCACAO', 'quantidade': 2}, {'atividade': 'SAUDE', 'quantidade': 2}]",3.1,0,0.0,0.0,0.0,-1,False
Soledade,497,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 111}, {'atividade': 'EDUCACAO', 'quantidade': 50}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 41}]",1.2,2,0.021505376344086023,0.21577726218097448,0.19553072625698323,70,False
Tamarineira,733,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 170}, {'atividade': 'SAUDE', 'quantidade': 80}, {'atividade': 'EDUCACAO', 'quantidade': 65}]",3.1,7,0.07526881720430108,0.2852760736196319,0.9441340782122905,3,True
Tejipio,220,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 48}, {'atividade': 'EDUCACAO', 'quantidade': 17}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 16}]",5.3,0,0.0,0.0,0.0,-1,False
Torre,592,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 142}, {'atividade': 'EDUCACAO', 'quantidade': 53}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 47}]",4.1,5,0.053763440860215055,0.28440366972477066,0.37988826815642457,58,False
Torreao,277,"[{'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 51}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 42}, {'atividade': 'SAUDE', 'quantidade': 25}]",2.1,0,0.0,0.0,0.0,-1,False
Torroes,272,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 68}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 33}, {'atividade': 'ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS', 'quantidade': 21}]",4.2,0,0.0,0.0,0.0,-1,False
Toto,40,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 18}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 5}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 3}]",5.3,0,0.0,0.0,0.0,-1,False
Varzea,1641,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 314}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 181}, {'atividade': 'EDUCACAO', 'quantidade': 124}]",4.3,0,0.0,0.0,0.0,-1,False
Vasco Da Gama,261,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 96}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 22}, {'atividade': 'EDUCACAO', 'quantidade': 19}]",3.2,0,0.0,0.0,0.0,-1,False
Zumbi,296,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 66}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 36}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 20}]",4.1,4,0.043010752688172046,0.2590529247910863,0.4972067039106145,58,False
